"GlobalId","Mark","Equipment","Description","Make"
"37t8ZNQPDAMO52fOVPmJXX","#01","Faber Stove","100cm AFF with 6AMPS SOCKET and SWITCH on TOP at SAME level","FABER"
"3OVAjoLO53wflcyh5mcsGk","#01","Builtin_Dishwasher","100cm AFF with 6AMPS SOCKET and SWITCH on TOP at SAME level","BOSCH"
"2M0Y0D8s93fO6Gm1GjKFMA","#01","Chimney_90cm","100cm AFF with 6AMPS SOCKET and SWITCH on TOP at SAME level","FABER"
"1p4CeRyr5Ahfxe1LVhmrOv","#02A","Refrigerator","180cm AFF with Power socket","LG "
"0Wq6V2LjrAeBehenXJu94X","#07","Pendant","AFF AT CEILING LEVEL, ","N/A"
"3zoi$5DU5CBOhGDk_4LeWz","#07","Pendant","AFF AT CEILING LEVEL, ","N/A"
"0dzioplI51wQnNeij4dSwt","#07","Pendant","AFF AT CEILING LEVEL, ","N/A"
"0s2vLTe150sgV$3nNCOpsr","#08","50inch TV","N/A","N/A"
"2815wh2PP0iwDPzxAV3Eup","#08","Treadmill","AFF 120 CM ","N/A"
"2EBLu87qP3KPA8VYIIXno2","#08","50inch TV","AFF 120 CM ","N/A"
"2KiZBqQY99nu7woU7236Ju","#0X","BLDC_CFAN","Ceiling Level Fixing with anchor bolt.","Havels"
"2as463_JH5SfOhahKMSKAg","#0X","BLDC_CFAN","Ceiling Level Fixing with anchor bolt.","Havels"
"3M0sYf7yHFZP73_U11E9eB","#0X","BLDC_CFAN","Ceiling Level Fixing with anchor bolt.","Havels"
"3gzabP_M16_91DBu6w9cTq","#0X","BLDC_CFAN","Ceiling Level Fixing with anchor bolt.","Havels"
"35xtP8uvH8OPhsxy5YAf_p","#0X","BLDC_CFAN","Ceiling Level Fixing with anchor bolt.","Havels"
"3opRXI69H669KfXdxa_6By","#0X","Washing Machine","Ceiling Level Fixing with anchor bolt.","BOSCH"
"261xBy$hn0Iw7Yovqw1aLD","#0X","BLDC_CFAN","Ceiling Level Fixing with anchor bolt.","Havels"
"2O3VyC8nr9CBuCtWUQHZp5","#0X","BLDC_CFAN","Ceiling Level Fixing with anchor bolt.","Havels"
